x	key	group
3	pred	321
3.025	pred	322
3.05	pred	323
3.075	pred	324
3.1	pred	325
3.125	pred	326
3.15	pred	327
3.175	pred	328
3.2	pred	329
3.225	pred	330
3.25	pred	331
3.275	pred	332
3.3	pred	333
3.325	pred	334
3.35	pred	335
3.375	pred	336
3.4	pred	337
3.425	pred	338
3.45	pred	339
3.475	pred	340
3.5	pred	341
3.525	pred	342
3.55	pred	343
3.575	pred	344
3.6	pred	345
3.625	pred	346
3.65	pred	347
3.675	pred	348
3.7	pred	349
3.725	pred	350
3.75	pred	351
3.775	pred	352
3.8	pred	353
3.825	pred	354
3.85	pred	355
3.875	pred	356
3.9	pred	357
3.925	pred	358
3.95	pred	359
3.975	pred	360
4	pred	361
4.025	pred	362
4.05	pred	363
4.075	pred	364
4.1	pred	365
4.125	pred	366
4.15	pred	367
4.175	pred	368
4.2	pred	369
4.225	pred	370
4.25	pred	371
4.275	pred	372
4.3	pred	373
4.325	pred	374
4.35	pred	375
4.375	pred	376
4.4	pred	377
4.425	pred	378
4.45	pred	379
4.475	pred	380
4.5	pred	381
4.525	pred	382
4.55	pred	383
4.575	pred	384
4.6	pred	385
4.625	pred	386
4.65	pred	387
4.675	pred	388
4.7	pred	389
4.725	pred	390
4.75	pred	391
4.775	pred	392
4.8	pred	393
4.825	pred	394
4.85	pred	395
4.875	pred	396
4.9	pred	397
4.925	pred	398
4.95	pred	399
4.975	pred	400
5	pred	401
